"affiliator","affiliatee"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x0c3ef5dd18ba8501e2fc8d5200cdda0fb5da5a5e896632136c44dddd49342852"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x34e9c178119e3982158b47ab08206b43700d89024ea7154fd398c3315423b96f"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x1cd2a839bd4f9c8a35d7e237a20dc15308dc358d554679db8ec930faad88307c"
"0x1cd2a839bd4f9c8a35d7e237a20dc15308dc358d554679db8ec930faad88307c","0xb41bc86782fabdf9ce51505cc510f9feff7e0527959eefb1034640d8014be831"
"0x6aed269536a4bd56621a1f82046311d12b74df27627e075d2803bf7956d8143e","0x6e44e4b0d12f68881936c6232a2055e0866c1c50c7279234bac738ef57c81e19"
"0x6aed269536a4bd56621a1f82046311d12b74df27627e075d2803bf7956d8143e","0xae555eda7ae04c7d711d9c5741ca3784a2cff8217744cd471b91508cc71b6410"
"0x0e8bdcb5e573b9bb11b9f3a54b754d3b8f4181dec8cba010bb42c0d1147fa51c","0xd874e2ebb93b1bd715891fbd8437c701932271195155679bdced05e5c0d6a606"
"0x6aed269536a4bd56621a1f82046311d12b74df27627e075d2803bf7956d8143e","0x0ca3e40fe7c8f703836b4f291bf7a520ae8dad516c7280d1a5916f46b55a5e31"
"0x78fc3edb9b5790c1d25af80cb3e383f3e3699d2270826c13a47674818709b114","0x9af751af01e61162cc3339e23de3d5387e209eb8ceddc992e4ceff620ccb837c"
"0x6aed269536a4bd56621a1f82046311d12b74df27627e075d2803bf7956d8143e","0x6cd88233f0da9a42481a3a24db12769eb1c79e360e3fe13b36223e129af9457d"
"0x0e8bdcb5e573b9bb11b9f3a54b754d3b8f4181dec8cba010bb42c0d1147fa51c","0xfccfc5a2e46cacd5d0088b90bce0ec32d395d3dad8a20d4c206470674dfc7f69"
"0x6aed269536a4bd56621a1f82046311d12b74df27627e075d2803bf7956d8143e","0xba91543365c2085133c279c60f7a025b56f55ab7d97b750c55137a87b461ae4c"
"0x6aed269536a4bd56621a1f82046311d12b74df27627e075d2803bf7956d8143e","0x1cda01d4ed0925f987695c1826da9b20027de21647178167766549642dd1bf4c"
"0x6cd88233f0da9a42481a3a24db12769eb1c79e360e3fe13b36223e129af9457d","0x6e832b56f765b2d3ff6780cc14c0b28d83dcc6321288ff067bfb1b7d14574b42"
"0x0e8bdcb5e573b9bb11b9f3a54b754d3b8f4181dec8cba010bb42c0d1147fa51c","0x92d138e3ab1c66a7b6a12a269aa686073e3385ff77520b7f136a3e607f26945a"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x86f1cee9670a393fd2118f9b58827be5f9048d2a8587302648cf52caecf5cb08"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x96cc337f950f794c27dd430e3ebdb9fb00f07d370a7a94a75368c5df1c02f270"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x7a30942bf5b83fab8f825f2b5fff918cb83a3c3abf02605ff9a0c8268e0b401b"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x2e22b0c958ded21b5a3bb15ff635e4416bb218eca26242016f947bb3fb108e20"
"0x0e8bdcb5e573b9bb11b9f3a54b754d3b8f4181dec8cba010bb42c0d1147fa51c","0xe24340785e46b591d6561bbce2d398a73423d5f746f6f8cfc31304a8718f4300"
"0xb0744a1f0fba3865a5c788b39a9588dca3614321b51ab7871e5a4f854f31486c","0x863859ba71e2e1d1a810f0d99243c749561c3efabdc383c88bd5e448e3f68d16"
"0x6cd88233f0da9a42481a3a24db12769eb1c79e360e3fe13b36223e129af9457d","0x4c443509504893a965bb358cb1307c3446c41b75d90ca209db0310300e36f359"
"0x0e8bdcb5e573b9bb11b9f3a54b754d3b8f4181dec8cba010bb42c0d1147fa51c","0x7ad0b9cb9d93564401904c2c3a133724ac606a62f28530edc8e258845f514c29"
"0xd874e2ebb93b1bd715891fbd8437c701932271195155679bdced05e5c0d6a606","0xe0c8fc44ed90b0ec74d33ad78952baef2612504732db88041bcd7893943d5d4e"
"0xd874e2ebb93b1bd715891fbd8437c701932271195155679bdced05e5c0d6a606","0x027d76068a36a685a520ffaabe3f73bc5d28fa42c44074786f1b96a19e119147"
"0xd874e2ebb93b1bd715891fbd8437c701932271195155679bdced05e5c0d6a606","0x46307eb5f238b38f52e7d2510e3b647b4aaaf04af228b0d69957eb4371bba053"
"0x6aed269536a4bd56621a1f82046311d12b74df27627e075d2803bf7956d8143e","0x8064b37f577038304b891e99846c2e239c84115792cefed6db216e596171a414"
"0x6aed269536a4bd56621a1f82046311d12b74df27627e075d2803bf7956d8143e","0xbcd7ec6520f08eb78676effc5289973d82de7a61854faad1d8f417c491589910"
"0x0e8bdcb5e573b9bb11b9f3a54b754d3b8f4181dec8cba010bb42c0d1147fa51c","0xbc7dbb72a696dc92ddb6288c5d302fd058721e736bab7afc577de5930aa41d6e"
"0xb8913874613f6ad3ef0c59548efe7462dc005260af4ae6a53dbb363a5cfb6731","0xca7fdb357eeaa7e569843da2ad1eeda35b991ea2240b055bdce731542b0ee258"
"0xe6a927879524dd2011a6088ad363395b8f94e92024a14e58588ec14e97e03051","0x6a046ef42fcac6e7856c11d688ff6a5c03cf08fc686514407d741b2980ea0c63"
"0xb8913874613f6ad3ef0c59548efe7462dc005260af4ae6a53dbb363a5cfb6731","0x6c5dd552bf3f294d2a7cf521e0b6c33eca7cb8014453a37c60468ea9edd5046c"
"0xb8913874613f6ad3ef0c59548efe7462dc005260af4ae6a53dbb363a5cfb6731","0xde7047d99fd15df0a11943b1b09904815bfc3b3f56d2c6224708f673e12f8222"
"0x0e8bdcb5e573b9bb11b9f3a54b754d3b8f4181dec8cba010bb42c0d1147fa51c","0x4e400555d8ee1d4752be47eff37195a8926a2fae9f874773ac49cdc2fa47f703"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x9898b38a8007bd51bcc3d5e10b9f86072f85e0bc1756d5ac02b0ed6fef322131"
"0xe4504ef102b6d6098b450ed14cf219b93658bff50be65c4ad1fbd573ef772e19","0x98ee43d907433fcb0c7e5f071d096436e3bb3caeaee10ed24c79598687512c65"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x305f531d98856a5d503dd62477c725b41265930412792983b90b022fc2117b54"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x8c8f40c21710c44a01a4d352d6757eba7e7200b6d41b4f6a4c776ae950633841"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x10fb4735bc0492cff9534c1eac3ed6d9dc0b9b18160cb78b1f7497e3c440936d"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0xacb500d746ebca094e3958df4b0adb048be98539451c23a5001bda90f99e526c"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x621ca40437bf99c273a32e224a50bfc86c722868476371ae9793a58226929e16"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x06d58946c5e4d4788ef1618604c7f3c06d940255388fa027f7cddbfb5db36a4e"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x9e486ca5d77d5708b4af99d0739e8f99554093e2a8265051b6f685b565f32c6d"
"0xae555eda7ae04c7d711d9c5741ca3784a2cff8217744cd471b91508cc71b6410","0x64788f1bcd8cb5fa15621bb1025b45e33fe4e5b7d49ed42faf909478b2f80b51"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x781aff76e0cfe6e1aefe3e227097a0ee919930ad67b4d129e9101685a58da67d"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x00e59768417f292fdd0234e4bc0e97ecaaf36d5425dd7f7dbb4cf8c33b434508"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xa6dee6e8930c8389ffc1d4b56f451bbed792aa3d9785063e0f8121796f53a041"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xa4a7d5eb654a45cf2765fbe276d3cabc9c1d207a0df328b578cd0f1a4a58a672"
"0xfebea01bea78ad25d6e4c63769fc75483f37d24e95a331bbfecba64da6eb0440","0xae009c710a70b5846f2fba2aa69b942db9b91866ea559ac6a13073f2ef4f3305"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xae8ba953902b3e3f6ea6e1ca8993beeceac5b2a72848bb22753437305188dc13"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x04baa4bf3316cb3c0088cf3704597f1dfd81d69521308a11c3dd42480aee3f21"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x38d96facab8249fbc5387684301e248ff8aafbf392f2b995b58dc2b5f8942829"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x187368db9164d7b7b9a671e24dc5b2e4c69411908d7275468385f66ea422770f"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x2ae32ea8c81dd91bdfeabd6cbfb6cb69a292e727b6a4eaebf560d957076fe912"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x9cbe41fc92dbd3f10a53e9d7b2f99a3ba93cc1b214f24eb61d3460e14a30b62f"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x6e69de98f138fa51646fb413e214d21a44edde83cd2df4b5ffb8208176f9794b"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xe2716951f6a277b8206877ee795bf0b01c7c513e2e8d647b7b71a001e5afa032"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x0834e64f6b624d04405f4e347f0a06c294bafa2a37af8bb09e61f55375d3f425"
